l**1,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,1000,2013-11-12 13:26,成交
小**铺,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,7000,2013-11-12 13:25,成交
x**3,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,2000,2013-11-12 13:26,成交
纤**刀,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,15000,2013-11-12 13:38,成交
g**q,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,10000,2013-11-12 13:25,成交
云**轻,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,5000,2013-11-12 13:24,成交
t**8,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,2000,2013-11-12 13:24,成交
品**r,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,8000,2013-11-12 13:22,成交
t**8,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,2000,2013-11-12 13:20,成交
c**b,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,1000,2013-11-12 13:20,成交
栖**孩,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,5000,2013-11-12 13:20,成交
b**i,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,2000,2013-11-12 13:19,成交
z**z,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,20000,2013-11-12 13:19,成交
j**a,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,5000,2013-11-12 13:21,成交
r**o,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,5000,2013-11-12 13:19,成交
z**7,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,1000,2013-11-12 13:17,成交
t**9,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,10000,2013-11-12 13:16,成交
贺**烨,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,2000,2013-11-12 13:16,成交
v**u,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,50000,2013-11-12 13:15,成交
t**8,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,4000,2013-11-12 13:15,成交
t**9,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,20000,2013-11-12 13:16,成交
d**u,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,10000,2013-11-12 13:20,成交
史**7,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,20000,2013-11-12 13:14,成交
r**8,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,1000,2013-11-12 13:15,成交
t**0,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,9000,2013-11-12 13:26,成交
c**1,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,20000,2013-11-12 13:13,成交
k**i,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,8000,2013-11-12 13:12,成交
l**1,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,1000,2013-11-12 13:12,成交
z**j,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,1000,2013-11-12 13:32,成交
y**1,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,10000,2013-11-12 13:12,成交
x**n,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,9000,2013-11-12 13:14,成交
z**j,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,1000,2013-11-12 13:10,成交
h**y,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,1000,2013-11-12 13:10,成交
j**a,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,3000,2013-11-12 13:13,成交
量**棋,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,9000,2013-11-12 13:16,成交
s**3,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,10000,2013-11-12 13:08,成交
k**0,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,40000,2013-11-12 13:07,成交
h**瑾,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,50000,2013-11-12 13:07,成交
x**1,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,1000,2013-11-12 13:07,成交
x**j,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,20000,2013-11-12 13:07,成交
j**6,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,4000,2013-11-12 13:04,成交
t**3,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,6000,2013-11-12 13:04,成交
w**k,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,30000,2013-11-12 13:03,成交
l**4,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,40000,2013-11-12 13:03,成交
建**地,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,2000,2013-11-12 13:02,成交
y**f,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,10000,2013-11-12 13:02,成交
胖**7,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,5000,2013-11-12 13:02,成交
m**8,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,20000,2013-11-12 13:02,成交
猫**星,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,3000,2013-11-12 13:01,成交
j**6,（匿名）,易方达聚盈A债券基000429首期约定年收益率百分6双十一理财特别版,16000,2013-11-12 13:01,成交
